Key,Council_District,Highest_Offense_Desc,Highest_NIBRS_UCR_Offense_Description,Report_Date,Location,Clearance_Status,Clearance_Date,District,Zip_Code_Crime,Census_Tract,X_Coordinate,Y_Coordinate,Zip_Code_Housing,Populationbelowpovertylevel,Medianhouseholdincome,Non-WhiteNon-HispanicorLatino,HispanicorLatinoofanyrace,Populationwithdisability,Unemployment,Largehouseholds(5+members),Homesaffordabletopeopleearninglessthan$50000,Rentalsaffordabletopeopleearninglessthan$25000,Rent-restrictedunits,HousingChoiceVoucherholders,Medianrent,Medianhomevalue,Percentageofrentalunitsinpoorcondition,Percentchangeinnumberofhousingunits2000-2012,Ownerunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageartist,Ownerunitsaffordabletoaverageartist,Rentalunitsaffordabletoaverageteacher,Ownerunitsaffordabletoaverageteacher,Rentalunitsaffordabletoaveragetechworker,Ownerunitsaffordabletoaveragetechworker,Changeinpercentageofpopulationbelowpoverty2000-2012,Changeinmedianrent2000-2012,Changeinmedianhomevalue2000-2012,Percentageofhomeswithin1/4-mioftransitstop,Averagemonthlytransportationcost,Percentageofhousingandtransportationcoststhatistransportation-related
20155033291,7,BURGLARY OF VEHICLE,Theft,29-Jul-15,9012 RESEARCH BLVD SVRD SB,N,31-Jul-15,I,78757,18.18,3119220,10108622,78757,16%,$55156,5%,25%,10%,6%,5%,21%,8%,4%,1%,$895,$253300,0.7%,10%,2%,6%,32%,8%,75%,21%,100%,56%,103%,24%,93%,79%,$590,36%
20155033272,10,BURGLARY OF VEHICLE,Theft,29-Jul-15,8100 N CAPITAL OF TEXAS HWY SB,N,4-Aug-15,A,78750,17.16,3103443,10111735,78750,7%,$75958,16%,16%,9%,6%,6%,19%,2%,0%,0%,$1012,$303100,0.3%,32%,4%,1%,15%,5%,70%,15%,99%,51%,104%,20%,64%,21%,$747,33%
20155033145,8,BURGLARY OF VEHICLE,Theft,29-Jul-15,6200 SUN VISTA DR,N,5-Aug-15,D,78749,17.489999999999998,3081523,10056496,78749,6%,$80956,13%,20%,7%,4%,7%,5%,1%,1%,0%,$1150,$233900,0.3%,32%,0%,1%,6%,0%,57%,3%,97%,70%,171%,25%,61%,37%,$708,40%
20155033119,9,BURGLARY OF VEHICLE,Theft,29-Jul-15,915 W 22ND HALF ST,N,24-Aug-15,B,78705,6.04,3112589,10077273,78705,66%,$11917,21%,17%,4%,14%,2%,39%,8%,1%,0%,$1088,$292500,0.3%,2%,1%,6%,23%,10%,57%,38%,94%,79%,49%,70%,40%,100%,$511,30%
20155033276,3,BURGLARY OF VEHICLE,Theft,29-Jul-15,2237 WEBBERVILLE RD,N,25-Aug-15,C,78702,9.02,3122829,10068735,78702,33%,$34734,18%,56%,14%,11%,10%,21%,41%,39%,2%,$766,$175400,2.2%,15%,0%,39%,51%,2%,80%,15%,99%,67%,3%,73%,207%,96%,$590,39%
20155033131,8,BURGLARY OF VEHICLE,Theft,29-Jul-15,7617 MENLER DR,N,5-Aug-15,D,78735,19.079999999999998,3073246,10063246,78735,6%,$74571,9%,20%,7%,4%,10%,8%,4%,5%,1%,$1122,$379900,0.1%,64%,2%,4%,7%,2%,62%,5%,97%,23%,96%,4%,85%,9%,$747,38%
20155033179,10,BURGLARY OF VEHICLE,Theft,29-Jul-15,2900 WILLOWBRIDGE CIR,N,31-Jul-15,B,78703,16.04,3105098,10085548,78703,10%,$92606,9%,9%,6%,4%,4%,3%,11%,0%,0%,$1183,$621900,0.4%,1%,0%,8%,25%,0%,51%,2%,92%,13%,7%,65%,104%,67%,$629,25%
20155033233,8,BURGLARY OF VEHICLE,Theft,29-Jul-15,4220 W WILLIAM CANNON DR,N,30-Jul-15,D,78749,17.489999999999998,3084704,10053411,78749,6%,$80956,13%,20%,7%,4%,7%,5%,1%,1%,0%,$1150,$233900,0.3%,32%,0%,1%,6%,0%,57%,3%,97%,70%,171%,25%,61%,37%,$708,40%
20155033279,9,BURGLARY OF VEHICLE,Theft,29-Jul-15,1110 BARTON SPRINGS RD,,,D,78704,13.05,3110191,10068005,78704,21%,$50248,7%,30%,9%,7%,3%,13%,12%,13%,1%,$940,$338200,0.4%,9%,0%,11%,26%,2%,76%,13%,99%,33%,33%,40%,126%,76%,$629,33%
20155033122,9,BURGLARY OF VEHICLE,Theft,29-Jul-15,706 W 22ND ST,N,24-Aug-15,B,78705,6.04,3113250,10077119,78705,66%,$11917,21%,17%,4%,14%,2%,39%,8%,1%,0%,$1088,$292500,0.3%,2%,1%,6%,23%,10%,57%,38%,94%,79%,49%,70%,40%,100%,$511,30%
